Season,Overs,Wickets,Best Bowling,5 Wicket Hauls,Economy Rate,Strike Rate,Average,%Team Wickets
All,473.5,79,3/0,0,4.77,33.25,26.44,14.93
2024,15,3,2/18,0,4.47,30,22.33,16.67
2023,35.1,6,2/18,0,4.26,35.17,25,17.14
2022,97.2,13,3/14,0,3.77,44.92,28.23,14.44
2021,21,3,2/6,0,2.33,42,16.33,15
2020,30,8,3/30,0,5.47,22.5,20.5,30.77
2019,80.4,17,3/19,0,4.46,28.47,21.18,18.09
2018,50,9,3/39,0,5,33.33,27.78,13.64
2017,57.5,5,2/72,0,5.93,69.4,68.6,8.62
2016,7,4,2/1,0,8.14,10.5,14.25,11.11
2015,15,2,1/4,0,7,45,52.5,7.69
2014,13,6,3/0,0,4.77,13,10.33,21.43
2013,15.5,3,2/9,0,7.26,31.67,38.33,9.38
